,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom
2021-01-21 00:00:00,0.22840291669999999,0.30130831543,0.1169724966,0.0563397265,0.023508001567,0.3384551354,0.1074665544,0.0472030415,0.154596463,1.0125239099999999,2.193946732,0.199021236,0.15294258159,0.11891908849999999,1.0986857399999999,0.0298370232548,0.04323379247,0.03471213870305,0.004676968377,0.4629022115,1.134437807,0.118170178,0.24852496,0.10388428776,0.045003816259999996,0.70353656,0.116318619,0.9951424670000001
2021-01-22 00:00:00,0.22474199609999998,0.29253525035,0.1182987735,0.0548741113,0.024353011025,0.329439317,0.09976661919999999,0.0428498021,0.147704358,0.98745332,2.086510574,0.196963261,0.14887328834,0.12269589589999999,1.06486733,0.028596314492700003,0.041873831054,0.0340202900916222,0.004515877191,0.447718958,1.091609928,0.10813825299999999,0.245405437,0.10218369273000001,0.043795085649999996,0.67054494,0.112930056,0.9662438369999999
2021-01-23 00:00:00,0.21969591300000002,0.28392768073,0.117446327,0.0534893731,0.0247042237,0.3186975204,0.0966808417,0.0410255278,0.140837296,0.94956157,2.040561196,0.192226197,0.14452626095,0.13017234930000002,1.0320685,0.0269053440184,0.040738476695000005,0.033278770091622195,0.004365895198,0.430177427,1.058899375,0.102523325,0.24143911,0.10013617195,0.042812343929999996,0.63825409,0.11089758999999999,1.008502223
2021-01-24 00:00:00,0.214573664,0.27950003721,0.114922681,0.052474523,0.02491751608,0.3107040219,0.09456366249999999,0.0394630461,0.13694548,0.92838126,2.013186064,0.18575411,0.14090119134999998,0.1334965822,1.00648641,0.0257855723641,0.039445976131,0.0331986400916222,0.004187936496,0.4167585958,1.015331978,0.097515812,0.234378578,0.09843208006,0.042695559684,0.60950133,0.108418408,1.052130577
2021-01-25 00:00:00,0.2093196932,0.27894155798,0.1111426108,0.0521173291,0.024960440530000003,0.3103057868,0.0952544337,0.0391102494,0.134102018,0.92178543,2.051113103,0.175117598,0.13780143563,0.1366107984,0.9806398199999999,0.0251656992172,0.038699226074,0.0333172600916222,0.003997469466,0.4226892203,0.978317553,0.084793277,0.226781262,0.09710621623,0.042256800987,0.57472819,0.107704681,1.0739588930000001
2021-01-26 00:00:00,0.2085705089,0.2860932881,0.1097539986,0.0521945327,0.02465477103,0.3112079624,0.09729921400000001,0.039653607699999996,0.132497417,0.93636881,2.114624348,0.166968534,0.1367941821,0.1388225943,0.9594131,0.024905830654,0.038450888752299996,0.0335546917002,0.003913155069,0.4388035282,0.964243685,0.079511245,0.221993886,0.09698658273,0.042298035326,0.55793723,0.10844315,1.108400333
2021-01-27 00:00:00,0.21239698399999998,0.30052509510000003,0.10872774389999999,0.0529215713,0.02385487896,0.3154848121,0.1021890557,0.0398337224,0.131328048,0.95701216,2.223060865,0.166679345,0.13784052861999999,0.13738505339999998,0.9625464,0.025122317838,0.038646126015599996,0.0341434717002,0.004034456288,0.46362312699999997,0.975602099,0.083312987,0.221493282,0.09646273781,0.042531162330999996,0.55109791,0.110496398,1.129388673
2021-01-28 00:00:00,0.2153797214,0.30613088501999997,0.1086504665,0.0538154294,0.023564179719999998,0.3188830968,0.10805144089999999,0.0409546368,0.132795514,0.96793151,2.334919017,0.166542402,0.14034085560999998,0.1335433583,0.970567,0.025619756280999998,0.03943487640545,0.034382821658500005,0.0042078836090000005,0.4876337469,0.992873154,0.086365698,0.223557024,0.09878947142,0.043170223625000004,0.548568,0.113213076,1.133689303
2021-01-29 00:00:00,0.21794918030000002,0.29456856886,0.10687037719999999,0.0545016359,0.02335128677,0.3240681739,0.1128933378,0.0421318467,0.136879451,0.94000036,2.352538353,0.164860697,0.14237494761,0.1280949347,0.96916904,0.0265737054953,0.03975455089582,0.0342113716585,0.004153406096,0.4792834608,1.021018078,0.08642348000000001,0.227160053,0.10119049625,0.043866484632,0.54515789,0.114017535,1.115885491
2021-01-30 00:00:00,0.2165125463,0.29654852723,0.1072629243,0.0548766748,0.0230069014,0.3270043365,0.1143499768,0.0434758835,0.141398561,0.9238045,2.3390785750000003,0.162281863,0.14333596163,0.1210106814,0.96885532,0.027599129932299998,0.03975715043218,0.0340152116585,0.00408331044,0.4736721052,1.041886345,0.085666641,0.226147176,0.10303102777,0.043732145244,0.53727357,0.11453556999999999,1.074262651
