"Beijing","Tianjin","Hebei","Shaanxi","Inner.Mongolia","Liaoning","Jilin","Heilongjiang","Shanghai","Jiangsu","Zhejiang","Anhui","Fujian","Jiangxi","Shandong","Henan","Hubei","Hunan","Guangdong","Guangxi","Hainan","Sichuan","Chongqing","Guizhou","Yunnan","Tibet","Shanxi","Gansu","Qinghai","Ningxia","Xinjiang"
45.1646929824561,83.1225603864734,113.541483960718,164.131179142346,58.6975945331137,87.7198290518763,77.7311259573888,47.1091943711977,40.7210144927536,72.1370545214178,65.786003125234,90.7330801189003,25.0572774516567,55.9987629105677,114.190627736497,162.650765794465,80.0107185033787,66.9294516379448,41.3121017135554,38.566801400735,36.2336889301175,75.2166151732931,77.8365299116378,41.4076693896968,32.9446348462939,42.7596602499695,136.828032229702,102.517442768594,78.9725524475524,83.346596070328,150.434633391566
71.7872023809524,100.851570048309,151.616398502748,206.73005149732,92.6259924199647,84.5786539490505,70.4326532935125,53.2289208201258,87.3614130434783,132.018284099577,75.4399636666261,117.03283484943,26.4269781144781,51.1400958174759,152.925665571612,193.20631884058,100.539570393375,90.1142070738953,37.8897736960397,36.6438377564465,49.8738095238095,79.8964925079646,82.5790307971015,49.6376865366535,32.511466011466,36.2247173116738,154.985169209395,106.405308342896,76.1347535099294,114.174360885745,165.449308300395
160.511513157895,164.432309023741,195.073350728082,255.132222002635,92.9343035094023,100.34849628449,74.4617115447958,73.6148203182528,69.9643115942029,131.908314610637,98.4261231884058,144.384763424837,25.073948948949,61.5849560068451,191.438977574506,195.623238032499,111.43964850367,93.3469452964635,42.0640471378205,40.2125106103047,30.9821428571429,83.8554285939328,85.5226758069829,47.1661963489409,34.0189757186748,33.8984162895928,191.140245211183,92.0897987589783,54.5378787878788,122.835456972471,172.047989130435
48.9970238095238,90.9085858585859,145.416350202795,203.421861172693,51.1753363544957,94.3707078241208,63.1018507081686,60.8107909761228,34.0548913043478,76.5518876274191,71.1659917590224,137.012702894576,37.697278305974,35.4366174055829,212.251813661681,277.170357998131,132.601939709286,51.616417957012,65.3898139761631,26.7271167048055,23.0059523809524,74.7711931460159,77.194458168643,35.4399018232819,36.0293798973719,33.5222816399287,189.323746619513,79.2355936139597,50.6451640464798,87.9003189792663,172.277776616499
31.2495471014493,40.8433574879227,99.8597160866982,198.701401027272,61.6478867229608,60.7569365710961,51.029082843052,44.8754358651455,46.2342391304348,76.9433737201683,31.551052631579,152.759884274706,38.2164610262436,52.1990004997501,82.874792559633,213.71735303344,201.477637050007,126.280679897644,64.5864730948894,21.8400065876153,34.8452380952381,85.0751391684875,79.3880208333333,41.5520833333333,42.9392543859649,42.3059656668992,223.909307606962,89.0894067455391,58.5210055096419,92.3256379585327,162.160226850444
85.2174873737374,72.1972222222222,124.497528454555,270.341635905888,87.4257751205045,92.7041624278003,83.4722322034575,63.4555303773267,40.7416666666667,69.8010700486902,45.6085507246377,121.539738327658,25.5802487269879,78.3671632590298,95.5620332469404,167.005007237345,215.124768331857,176.998702858794,35.6196240815167,25.5776086956522,33.9964285714286,102.926630434783,69.5539215686274,42.1593513257576,43.4527555301297,39.978712038175,256.824923722349,97.7609431457055,56.618187806923,96.525561680882,151.280719693477
57.9722222222222,84.8956851119895,152.982362293504,188.040034889596,42.860625417073,112.196443164247,85.4851429312892,86.6729448009701,41.6833333333333,77.0502479049715,50.9042947218413,95.6384718158434,35.1163915892177,56.6677639264783,173.002220445246,243.044893697243,189.348872785829,148.736338067391,63.24708164262,29.2925158102767,36.4107142857143,109.195354433519,91.9792351723298,38.362812176501,44.2018115942029,35.0332842102932,242.797104412442,69.9243808552364,54.3371212121212,67.9150457665904,157.922451944191
29.3751509661836,37.562922705314,114.107758636291,114.870718802936,42.8684835010181,70.9410360583586,49.033143498259,56.2073644530738,72.2148056653491,118.281160250418,50.4678584872684,138.751814089512,35.3783074152639,72.4283381848037,101.054892280499,234.149231444884,177.797553857676,195.334489152152,50.8245549973058,18.4055721814417,39.1975108225108,109.115687730669,127.00353599938,32.5903892868906,29.1001482213439,29.9047233386108,171.445902235653,67.241995693258,59.9067360505108,63.5440367222404,127.881933887369
59.9319416996047,63.086884057971,83.9829093008441,187.579787761176,71.8812609080643,72.1560387798988,63.9075359752237,61.5335061963208,37.4628293807642,49.044382216202,50.3217478337289,61.6709195284294,26.7507032724424,29.6957799509336,64.3275172569723,88.9441480017567,101.826287212787,67.4481685975292,45.4251371142356,21.8817452475061,37.4277950310559,95.3204720492173,46.0378303495311,26.9951808018688,25.1824942791762,29.8511586452763,136.920770470313,97.199150895855,78.3901515151515,73.3358817002982,110.601720944112
103.865214646465,145.009509693205,148.386629674673,188.729136515748,106.644553453793,101.259584346071,82.2430113529422,65.3150878622258,28.4299571805007,54.6963478525035,33.7025,64.4776940779905,41.8341656874266,23.5978346054246,107.768865710887,143.873552983249,76.9668981934954,34.957483277592,69.1911141004491,27.9133979916077,37.6190476190476,78.2557063001061,43.3723703440186,27.2831182065217,31.4681689401369,30.63789428815,200.812881099323,94.2724966436913,74.0992424242424,86.4910243741765,141.757701235962
133.779671717172,270.197222222222,231.249150705433,186.582835391661,105.663249875948,160.455932070131,127.698297201262,95.5557396064532,29.1666666666667,56.7168891634956,28.1583333333333,62.4163101939782,52.3574181889399,28.7521559836965,170.326035589557,204.677127791997,106.308577415388,54.7667237771003,84.346464969387,29.2960177865613,37.6725108225108,80.791291565033,67.0676683716965,37.3860651350461,34.9743652609785,31.0973262032086,240.257675644975,89.9301066278275,77.2737603305785,107.138144122383,162.997937110351
