,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2019-01-11 00:00:00,0.301300213,0.1108569,0.23894436,0.20353035686,1.00834,0.28994921,0.127217616,0.039454784,0.0112802274,0.5697491,0.3751621,0.05101822,0.0644475714,0.7006329,0.567326487,0.2406280029,0.1864204431,0.36391201,0.5779686860000001,0.0530130384,0.177062981,0.23986432,0.52043907,0.2930642,0.18537032814,0.381600857,0.1055531686,0.15276327171,0.11475184,0.0517325876,0.3554287,0.1360476716,0.5961742,0.34144083,0.16863631429,0.667581554,0.28018751,0.131688053,0.75291469,0.035306207,0.203916541,0.0458513256,0.267678,1.846359,0.207058646,0.020875602809999998,0.29495807,0.24203551,0.273165643,0.3120771114,0.18850717286000002
2019-01-12 00:00:00,0.309550047,0.11089623,0.24251849,0.21238585714,1.0128348,0.29616474,0.129246244,0.040410047,0.0117688016,0.5748142,0.3865222,0.0520538,0.06482870010000001,0.7286116,0.591113829,0.2478672286,0.1929446713,0.37912856,0.59222754,0.0536233129,0.182719423,0.24291203,0.54029261,0.29908621,0.19275539956999999,0.396368824,0.1058561757,0.15858869986,0.11497006,0.05232623386,0.3632283,0.1379119716,0.6076989,0.35966576,0.17585052814,0.7009195269999999,0.2875849614,0.134656343,0.77371516,0.035852626,0.210602356,0.046502985600000005,0.28177147,1.8933994,0.207046324,0.02122000873,0.30308756000000003,0.24555661,0.28587051443,0.32128853,0.18923205286
2019-01-13 00:00:00,0.316724271,0.11093547,0.24573693,0.216180357,1.0133427,0.29616034,0.131909506,0.041240499,0.012328394099999999,0.5903263,0.3951781,0.053200370000000004,0.0651373759,0.7358561,0.600351339,0.25126311,0.1946062859,0.38396693,0.596350133,0.0546494103,0.188281084,0.24755248,0.54617039,0.30093909999999996,0.19531298614,0.401023929,0.1094496457,0.16036021471,0.114777,0.053411444429999996,0.3717929,0.1367351999,0.6254111,0.37493143,0.179411829,0.71050197,0.286343186,0.136212519,0.78870639,0.0367786474,0.217617287,0.0468753956,0.28710736,1.8941275,0.204614243,0.02153440817,0.31100215999999997,0.24819497000000001,0.29372395743,0.3226808029,0.18927021729000001
2019-01-14 00:00:00,0.31773121899999995,0.11010589999999999,0.24953903,0.21647404314,1.0067054,0.29531622,0.132766916,0.041440249,0.0124035119,0.6014442,0.3951677,0.05320519,0.0648906971,0.7311701,0.599991076,0.2520748,0.1972332144,0.38097923,0.590145683,0.0554943039,0.188900721,0.25050268000000003,0.54749485,0.30123408,0.19269364286000001,0.402618584,0.11066399856999999,0.16321757157,0.11355663,0.05440494329,0.37460410000000005,0.136797114,0.63752,0.37403804,0.18264228614,0.706214953,0.287435801,0.137687114,0.7881679899999999,0.0371014753,0.218404904,0.047058629000000005,0.28484036,1.8908629,0.202130929,0.02195750027,0.31187851,0.24887776,0.29283212843,0.3215433386,0.189773574
2019-01-15 00:00:00,0.31337552399999996,0.10957741,0.24869691,0.21435947160000002,1.0037766,0.29914974,0.131345943,0.041213341,0.0123136714,0.5988774,0.38901779999999997,0.05218274,0.06438787259999999,0.7280322,0.596844496,0.2529017286,0.196307943,0.37564227,0.574351453,0.055102231700000004,0.187845087,0.24841792,0.54281303,0.30455197,0.18688842843,0.401043014,0.11153827286,0.1619194147,0.11310674,0.054133626100000005,0.3736386,0.1352757717,0.6333565999999999,0.3657353,0.18258874314,0.6984814690000001,0.282810426,0.138374347,0.78300471,0.036757658299999996,0.213106604,0.0471145433,0.27983083999999997,1.8721399,0.200437753,0.021676366109999998,0.31120294,0.24875259,0.28922448543,0.32132420300000003,0.19009012586
2019-01-16 00:00:00,0.31217401100000003,0.10954121,0.24728961,0.21396488600000002,1.0034359,0.29963936,0.128688766,0.040699481,0.0121769047,0.6007795,0.3835263,0.05158821,0.06386392443,0.7282249,0.594570889,0.2543621986,0.199339014,0.3727624,0.5704953300000001,0.0542808144,0.186140784,0.24289332,0.5442267199999999,0.30949286,0.18330518543,0.403788881,0.1115610843,0.1644036424,0.11190043,0.05347359039999999,0.3675409,0.13467421386,0.6253456,0.35875586,0.18404082828999999,0.691837004,0.286146511,0.137728476,0.77271364,0.0358223441,0.208912617,0.0476401141,0.27778534,1.8773393999999999,0.197831071,0.02141750571,0.30852434,0.24838263,0.28834664243,0.324135426,0.188218274714
2019-01-17 00:00:00,0.32245157599999996,0.1102026,0.24694463,0.216158557,0.9943681000000001,0.2941034,0.12622842,0.040182443,0.011900542900000002,0.6028283,0.3885726,0.05158133,0.0630461303,0.7431246,0.6022207159999999,0.2586636114,0.20016404299999999,0.37803123,0.575659053,0.0536037576,0.185152299,0.23716716,0.55541957,0.31768061000000003,0.18773127157,0.408522244,0.1114737471,0.1643399714,0.11041313,0.053089344000000004,0.36008300000000004,0.13466438557,0.6177368,0.35541971,0.18462987157,0.70058546,0.28590997,0.137245231,0.77114523,0.0348826489,0.207216827,0.0481646001,0.28551047,1.8826424,0.194147244,0.02117602176,0.30648336,0.24840276,0.29359794243000004,0.3322189129,0.185686659714
2019-01-18 00:00:00,0.33169334100000003,0.11105314,0.24368911000000001,0.2153829574,0.9866085,0.28873736,0.129376113,0.040901657,0.012326710099999999,0.6175659,0.3981187,0.0520212,0.06167818614,0.7570252,0.6095118030000001,0.2609810829,0.1962814141,0.38663327000000003,0.57487361,0.053335524,0.189820384,0.24220396,0.56599547,0.32307951,0.19073671386,0.407491899,0.11138361000000001,0.1610028284,0.10884477,0.0541234114,0.3660234,0.133833157,0.6343660000000001,0.37397199,0.18193517114,0.7248807190000001,0.278479496,0.136514119,0.79221399,0.0359064397,0.212731846,0.0484324711,0.29515787,1.8228697,0.18841277399999998,0.02103515843,0.31181586,0.24847853,0.30721600043,0.337732117,0.18241908242899998
2019-01-19 00:00:00,0.335741214,0.11150783,0.24541712999999998,0.2134341854,0.9900391999999999,0.28361579,0.132241106,0.041595486,0.0126421253,0.6219462,0.4024578,0.05276003,0.06123507014,0.7622902,0.61180679,0.2615567271,0.192287143,0.39035317,0.573110019,0.0537316356,0.193190386,0.24718976999999998,0.57458038,0.32505616,0.18940052843000002,0.404518171,0.1110462714,0.1577552287,0.10927661,0.0552675027,0.3703774,0.133355014,0.6524962000000001,0.38915310000000003,0.1795976146,0.738329774,0.2705981,0.135112246,0.80840791,0.0368088186,0.21876247,0.0485012859,0.29814921,1.7570436,0.185767711,0.021290189569,0.3148063,0.24710716000000002,0.317834871,0.33978902899999996,0.18108450042899998
2019-01-20 00:00:00,0.333147814,0.11127334,0.24809186,0.2124411997,1.0059806,0.28622269,0.132565023,0.041363246,0.0124466029,0.6060832,0.39648340000000004,0.05197556,0.06114968114,0.7582899000000001,0.605831697,0.2608534743,0.19269429999999999,0.38796757,0.573199057,0.053875352700000004,0.191688326,0.24801441000000002,0.5685407,0.32460088000000004,0.18505788586,0.403464403,0.1100504871,0.1573093287,0.11103582,0.0558714846,0.3681823,0.1362335427,0.6451034999999999,0.38802271,0.17691279971,0.732491174,0.2760456829,0.134287503,0.8070835999999999,0.036820280399999995,0.21878135399999998,0.0485586999,0.2954289,1.7822994,0.18758128699999999,0.021385058429,0.31199911,0.24508696,0.319675614,0.339007831,0.181220090429
