,Beijing,Tianjin,Hebei,Shaanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Sichuan,Chongqing,Guizhou,Yunnan,Tibet,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang
2019-01-01 00:00:00,0.48660922500000003,0.641549831,3.124042471,0.952456855,1.7061796759999999,1.695636116,0.643281407,0.7218195510000001,0.374075474,2.2980921169000004,1.036362414,1.126811894,0.6081342510000001,0.545310575,3.333881886,1.606099369,1.134683617,0.590782269,1.245064498,0.5478110503,0.0729097063,0.643322164,0.292801343,0.7217907990000001,0.554886341,0.009528001199999999,1.539996263,0.561579028,0.2379359764,0.452911059,1.065146582
2019-01-02 00:00:00,0.473363725,0.626477031,3.068384471,0.934576855,1.673503676,1.657539716,0.627110407,0.703104551,0.369005774,2.2654724627,1.023507414,1.1104788939999999,0.599910351,0.5379130750000001,3.269823886,1.5784683689999999,1.118226437,0.583274669,1.230384498,0.5405396503,0.0720521063,0.6357311640000001,0.28915394299999997,0.711374787,0.547623681,0.009488389199999999,1.509624063,0.550552228,0.2335267764,0.444494659,1.044699882
2019-01-03 00:00:00,0.447948625,0.598088231,2.962231471,0.900271955,1.6118925760000002,1.585612616,0.596490607,0.6676918510000001,0.35884687400000004,2.2013992599,0.996681414,1.078495194,0.583408751,0.523091075,3.147117886,1.5244353689999999,1.0860823069999999,0.5677797689999999,1.199000498,0.5258265503,0.07021690629999999,0.619516164,0.281559943,0.691050696,0.532809301,0.0093183482,1.452115263,0.529533128,0.22514317639999998,0.428606359,1.006033082
2019-01-04 00:00:00,0.44988482500000004,0.607815431,3.041952471,0.921867955,1.6530323759999999,1.614328816,0.603458107,0.674391251,0.370115274,2.2715510839,1.027190414,1.112436494,0.601722351,0.539528675,3.220183886,1.5628753690000001,1.120551387,0.585283569,1.2351964979999999,0.5422460503,0.0723353063,0.638211164,0.290184743,0.713159312,0.549275961,0.0095114992,1.486514763,0.541682428,0.23093187639999999,0.439981859,1.0311854820000002
2019-01-05 00:00:00,0.45415462500000003,0.611488131,3.0443644709999997,0.923351255,1.656414676,1.622505216,0.608021207,0.680004251,0.368963674,2.265907406,1.022820414,1.109970694,0.5998315510000001,0.537852775,3.226650886,1.563053369,1.118090677,0.582966769,1.2291934979999999,0.5404021503,0.0719816063,0.6351221640000001,0.288968343,0.711553865,0.547307771,0.0093924462,1.490282163,0.542992928,0.23126487639999999,0.440654559,1.033320582
2019-01-06 00:00:00,0.452469825,0.612465731,3.057297471,0.926093855,1.663735076,1.6257635160000001,0.607873207,0.679512951,0.370369674,2.2765303398,1.0251064140000001,1.115140494,0.602094551,0.539910975,3.235676886,1.566911369,1.123522877,0.5845110689999999,1.230903498,0.5422526503,0.0720783063,0.636018164,0.289637943,0.715099939,0.548974381,0.009278132199999999,1.4956391629999999,0.544607328,0.2321898764,0.442703859,1.037537682
2019-01-07 00:00:00,0.44797112499999997,0.605402231,3.027868471,0.917535355,1.6459049759999997,1.607694116,0.601046607,0.671748451,0.368042874,2.2595380593,1.020848414,1.1066164939999998,0.598342951,0.5365074750000001,3.205225886,1.554841369,1.114737627,0.5817567690000001,1.227193498,0.5391297503,0.0718654063,0.6340831640000001,0.288402643,0.70946776,0.5460570410000001,0.0094081322,1.480023363,0.539237728,0.22988447639999998,0.438052659,1.026674682
2019-01-08 00:00:00,0.458651425,0.617851731,3.076705471,0.9330456549999999,1.674060376,1.639444216,0.614246507,0.686937551,0.372849174,2.2899975576,1.033423414,1.121770694,0.606147151,0.5435205750000001,3.2604928859999998,1.579366369,1.1300036869999999,0.589036869,1.241825498,0.5460750503,0.0727208063,0.641645164,0.291965443,0.719142001,0.553029811,0.009475223199999999,1.506041263,0.5486989280000001,0.2337169764,0.445355459,1.044290782
2019-01-09 00:00:00,0.45842502500000004,0.6187607310000001,3.086121471,0.935460255,1.678892876,1.642302116,0.614695207,0.687265551,0.374202274,2.2985765159,1.0369584139999999,1.125910894,0.608345751,0.545494975,3.268561886,1.583662369,1.134228457,0.591085569,1.245938498,0.5480306503,0.0729612063,0.643771164,0.292966043,0.721860627,0.554972741,0.009486197200000001,1.509941563,0.550043428,0.2343907764,0.44670835899999994,1.047210582
2019-01-10 00:00:00,0.45072992500000003,0.617809431,3.122697471,0.943141955,1.695840576,1.643611416,0.610174707,0.680763951,0.380756274,2.3400569405000002,1.054139414,1.145677394,0.618987551,0.555057575,3.2922228860000002,1.599125369,1.154507317,0.6010292690000001,1.2659524979999999,0.5575052503,0.07413140630000001,0.654113164,0.297831943,0.734995826,0.564358561,0.0095283222,1.521739663,0.553833928,0.2368161764,0.45178835900000003,1.057111482
2019-01-11 00:00:00,0.447618325,0.6199010309999999,3.162495471,0.952931155,1.715144876,1.651916916,0.609837407,0.679371151,0.387252774,2.3803385953000005,1.071862414,1.164989594,0.629548251,0.5645351750000001,3.3241468860000003,1.617820369,1.174178577,0.611176569,1.2870674979999999,0.5669899503,0.0753675063,0.6650161640000001,0.302840643,0.747664367,0.573861281,0.009641561199999999,1.536810763,0.559032128,0.2395836764,0.457331359,1.068736682
